Action Name,Action Type,Description,Additional Rules
Hide in the Wastes,Double,"If this fighter is at least 12"" away from the nearest enemy model, they gain the Hidden condition (see the Necromunda: Core Rulebook) even if the current battle is not using the Pitch Black rules. They become Revealed if they move as well as all the normal triggers for becoming Revealed."
Enrage,Simple,"All friendly fighters gain +D3” movement until the End phase of this round if all the following conditions are true: Readied. Active. Completely within 6”"
Headbutt,Free,"Pick an enemy fighter engaged by, and in base contact with, this fighter and roll two D6. If either result is equal to or higher than their Toughness, they suffer a hit with a Strength equal to this fighter’s +2, resolved at Damage 2. However, if both dice score lower than the enemy fighter’s Toughness, this fighter instead suffers a hit equal to their own Strength, resolved at Damage 1."
Hurl,Basic,"Pick an enemy fighter engaged by and in base contact with this fighter, or a Prone and Seriously Injured enemy fighter within 1"" of this fighter. Make an Initiative test for the enemy fighter. If failed, the enemy fighter is hurled. Move the enemy fighter D3"" in a direction of your choice – if they were Standing, they become Prone and Pinned after moving. If they come into base contact with a Standing fighter, vehicle or any terrain, they stop moving and suffer a Strength 3, Damage 1 hit. If they come into base contact with another model, that model also suffers a Strength 3, Damage 1 hit, and if the model is a fighter, they become Prone and Pinned. This action can also be performed for free after successfully performing a Charge (Double) action instead of a free Fight (Basic) action."
Order,Double,"Make a Leadership test for this model. If the test is passed, pick a friendly fighter within 6"". That fighter can immediately make two actions as though it were their turn to activate, even if they are not Ready. If they are Ready, these actions do not remove their Ready marker."
Hide in the Wastes,Double,"Become Hidden (even in battles without Pitch Black). Become Revealed if moving (in addition to normal triggers)."
Lay Mine,Basic,"The vehicle moves forwards in a straight line up to its Movement characteristic, no turns may be made. At any point during this move a melta trap may be placed on the battlefield within the vehicle’s Rear arc and within 1"" of the vehicle. It cannot be triggered until after this is completed."
Embark,Basic,"If this fighter is within 1"" of a transport cage’s access point, remove them from the battlefield. They are now embarked in the transport cage."
Disembark,Basic,"If this fighter is embarked in a transport cage, place them within 1"" of the transport cage’s access point and at least 1"" away from any enemy fighters. This may mean that fighters cannot disembark from a transport cage."
Launch Smoke,Basic,"Place three markers within 2"" of this vehicle. These markers act like smoke grenades."
Treat Wounds,Basic,"Roll a D6. On a 3+ a friendly fighter within 1"" either regains a lost Wound or loses a Flesh Wound (controlling player’s choice)."
Run and Gun,Double,"The fighter may move up to double their Movement characteristic and then make an attack with a ranged weapon. The hit roll suffers an additional -1 modifier, and Unwieldy weapons can never be used in conjunction with this skill."
