Rule,Description,Additional Rules
Abandonment,"Should the gang reduce its Reputation for any reason, roll a D6 and subtract the number of Reputation lost from the result. If the total is 1 or less, the Caryatid will abandon its companion. A natural roll of a 6 is always a success, regardless of modifiers.",
Automated Repairs,"Recovers on a 6+ in the Recovery phase. May also roll an extra Injury dice when making Recovery tests, then pick one of the results and discard the other.",
Bate,"When the owning fighter activates, make a Willpower test for the owning fighter. If failed, the Sheen Bird must attempt to charge the closest enemy fighter. If passed, the Sheen Bird activates as normal.",
Beast Trainer,"Pets must try to stay within 6"" of this fighter.",
Berserk Charge,"When this fighter makes close combat attacks as part of a Charge (Double) action, they roll one additional Attack dice.",
Bodyguard,"If the owner is within 2"" and hit by a ranged attack, the hit and all its effects can be transferred to this fighter.",
Burrowing,"Move freely under impassable terrain (if movement is sufficient to do so).",
Charmed,"Gyrinx Cats live charmed lives and cannot be targeted by ranged attacks unless they are the closest target. In addition, Gyrinx Cats can only be the target of melee attacks if there are no other enemies engaged with the attacker.",
Counter-Charge,"Once per round, if all conditions are true: Active, an enemy charges the owner. After the enemy movement, interrupt the Activation by performing a Charge (Double) action against the enemy fighter, including the Fight (Basic) action. Finally, the enemy can continue the Charge action and make the attacks as normal (if still Engaged).",
Cranial Governors,"The Ambot's controlling player may switch off Safe Mode at the beginning of any round. Whilst Safe Mode is off, the Ambot gains the Berserker (Ferocity) skill and its Attacks characteristic becomes D3+1. However, when Standing and Engaged, the Ambot must divide its attacks amongst all fighters it is in base to base contact with, including friendly fighters. Once Safe Mode is off, it cannot be reinitiated until the Wrap-up.","{'Skills':{'Berserker'}}"
Data-hacked,"Should any fighter belonging to a gang that has a Data-scrivener be required to make an Intelligence check whilst the Data-scrivener is present upon the battlefield, they may roll an additional D6 and discard the lowest roll.",
Dervish,Extend LoS to 360° when making Fight (Basic) action with Versatile weapons.,
Devotion,"If standing, friendly fighters within 9"" and have LOS to this fighter can use this fighter’s Cool & Willpower stats for any tests.",
Devout Masses (Ganger),"At the end of the Choose Crew step of the pre-battle sequence, one additional Ganger with this rule may be added to the starting crew, even if this increases the size of the gang beyond the scenario limit.",
Devout Masses (Juve),"At the end of the Choose Crew step of the pre-battle sequence, D3 additional Juves with this rule may be added to the starting crew, even if this increases the size of the gang beyond the scenario limit.",
Disturbingly Familiar,"When a Psychoteric Thrall is added to the gang, make a note of its House of Origin. This may be either House Cawdor, Escher, Goliath, Orlock or Van Saar. This represents the origin of the unfortunate Thrall. Any enemy fighter that belongs to that House suffers a -2 modifier to Leadership and Willpower checks made whilst within 6"" of this fighter. Any enemy fighter that does not belong to that House suffers only a -1 modifier to Leadership and Willpower checks made whilst within 6"" of this fighter.",
Enveloping Attack,"Enemies engaged by this fighter suffer the following:-2 to Retreat,-1 to reaction attacks.",
Expendable,"Does not trigger Nerve tests to friendly fighters without this special rule within 3"" (when Seriously Injured or taken Out of Action).",
Faithful Protector,"While Standing (Active or Engaged) and within 3"" of its owner, enemy fighters may not make a Coup de Grace against the owner. In addition, if the owner is Standing and Engaged when activated, and the Hardcase Cyber-mastiff is within 6"" of them, the Hardcase Cyber-mastiff may immediately be moved into base contact with one or more of the fighters Engaging the owner. This move counts as a free action.",
Fanatical,Can re-roll Nerve tests if the result is 2 (before modifiers).,
Fear Inducing,"Cyberachnids have the Fearsome (Ferocity) skill. While Active and within 3"" of its owner, the skill also applies to the owner.","{'Skills':{'Fearsome'}}"
Fearsome,"If an enemy wishes to make a Charge (Double) action that would result in them making one or more close combat attacks against this fighter, they must make a Willpower test before moving. If the test is failed, they cannot move and their activation ends immediately.",
First To The Fray,Charge distance is Move + D6” (instead of D3”).,
Flight,"This fighter ignores all terrain, may move freely between levels without restriction, and can never fall. It may not, however, ignore impassable terrain and may not end its movement with its base overlapping an obstacle or another fighter's base.",
Focus Of Faith,"Can re-roll one die when generating faith dice (in the End phase) per friendly fighter with this special rule on the battlefield (not Seriously Injured or Broken).",
From The Shadows,"Can be placed aside instead of being set up at the start of a battle. Deployment: Start of any of any round after the first (before rolling for Priority). Anywhere on the battlefield. Outside 6"" and LOS of any enemy fighters. If both gangs have fighters with this special rule, take turns, starting with the winner of a roll-off.",
