Wargear Name,Description,Additional Rules
ABLATIVE ARMOUR,"A vehicle fitted with ablative armour treats the first non-Glancing Hit it suffers to the Body location in each battle as a Glancing Hit.",
CRASH CAGE,"A vehicle fitted with a crash cage treats the first non-Glancing Hit it suffers to the Crew location in each battle as a Glancing Hit.",
ESCAPE HATCHES,"When rolling on the Lasting Injury table for the crew of a vehicle fitted with escape hatches, the result may be re-rolled. The second result must be kept even if it is worse than the first.",
EXPLOSIVE RAM,"The first head-on collision this vehicle is involved in, the other object also suffers a S5, AP -2, D2 hit in addition to any other effects.",
EXTRA ARMOUR,"A vehicle fitted with extra armour increases its Toughness characteristic by 1 in all locations.",
FIRE POINTS,"When activated, any model embarked upon a vehicle with a transport cage with at least one Fire Point may perform the following actions as part of their activation: Shoot (Basic) and Reload (Simple). The shooting attack is resolved as if emanating from the Fire Point (place the Vision Arc template against the Fire Point to check what the fighter can see). Each Fire Point may only have one fighter fire form it each round.","{'Special Rules':{'Unstable Platform'}}"
RAM,"A vehicle fitted with a ram adds 1 to the Strength, AP and Damage of any vehicle impacts involving its Front arc.",
REINFORCED ARMOUR,A vehicle fitted with reinforced armour increases its starting HP by 1.,
ROCKGRINDER RAM,"A vehicle fitted with a rockgrinder ram adds 2 to the Strength, AP and Damage of any vehicle impacts involving its Front arc.",
SPEED FINS,"If a model equipped with speed fins does not make any turns during its activation, it may increase its Movement characteristic by 1"".",
TRANSPORT BED,A defined area (which must be clear on the model) of a vehicle fitted with a transport bed. This means that fighters on that area do not have to check to see if they fall off when the vehicle moves. The number of fighters who can fit on a transport bed is determined by the number that can physically fit on the transport bed as modelled on the vehicle.,
TRANSPORT CAGE Small,"When deploying at the start of a battle, up to 3 fighters can be deployed embarked upon a vehicle with a small transport cage as long as the vehicle is already deployed upon the battlefield; fighters cannot start embarked upon a vehicle that is in Reinforcements. Note that fighters subject to the mounted condition and Brutes cannot enter a transport cage.","{'Special Rules':{'Transport Cage'}}"
Transport Cage Large,"When deploying at the start of a battle, up to 6 fighters can be deployed embarked upon a vehicle with a large transport cage as long as the vehicle is already deployed upon the battlefield; fighters cannot start embarked upon a vehicle that is in Reinforcements. Note that fighters subject to the mounted condition and Brutes cannot enter a transport cage.","{'Special Rules':{'Transport Cage'}}"
TURTLE BACK,A vehicle with a turtle back does not automatically become Wrecked if it rolls due to failing a Loss of Control test. Instead it loses two Hull points and auto rights itself after resolving the roll.,
WEAPON HARDPOINT,A vehicle fitted with this Upgrade adds one Weapon Hardpoint. This Upgrade can be taken multiple times.,
WEAPONS STASH,This vehicle counts as an Ammo Cache,
ALL-WHEEL STEERING,A vehicle fitted with all-wheel steering increases its Handling characteristic by 1. This Upgrade cannot be taken by a vehicle with either the Skimmer or Walker special rule.,
ANTIGRAV GENERATORS,"A vehicle fitted with this antigrav generators gains the Skimmer special rule, replacing whatever its current Locomotion special rule is.","{'Special Rules':{'Skimmer'}}"
EMERGENCY BRAKE,"Whenever this vehicle moves due to a failed Loss of Control test, halve the distance travelled.",
PNEUMATIC RADIALS,A vehicle fitted with pneumatic radials does not suffer any penalty to its movement for traversing difficult terrain. This Upgrade can only be taken by a vehicle with the Wheeled Locomotion rule.,
POWERED STEERING,"When performing a Move (Simple) action, this vehicle may make two turns of up to 90° at any point before, during or after its move, rather than the usual one.",
REDUNDANT DRIVE SYSTEM,"A vehicle fitted with a redundant drive system treats the first non-Glancing Hit it suffers to the Drive location in each battle as a Glancing Hit. ",
TYRE CLAWS,A vehicle fitted with tyre claws increases its Handling characteristic by 1.,
ARCHAEOTECH AUTOMANTIC REACTOR,"A vehicle fitted with an archaeotech automantic reactor increases its Movement characteristic by 2"". When the vehicle is Wrecked, the reactor explodes; all models within 3"" suffer a S5, AP -1, D1 hit, and the vehicle is then removed.",
EASY TURNOVER,A vehicle fitted with an easy turnover applies a +1 modifier to any checks to restart its engine.,
ENGINE SHELL,A vehicle fitted with an engine shell treats the first non-Glancing Hit it suffers to the Engine location in each battle as a Glancing Hit.,
GAS PROMETHIUM ENGINE,"Each time this vehicle moves, any models within 1"" of the vehicle at any point during its move suffer a S3, AP -1, D1 hit with the Blaze trait from the flames belching out of the exhausts.",
GLYS INJECTOR,"Once per battle, when it is activated, a vehicle fitted with a glys injector can increase its Movement characteristic by 4"" for the duration of its activation.",
NITRO BURNER,A vehicle fitted with a nitro burner increases its Movement characteristic by 1".,
PLASMA COIL ENGINE,"When this vehicle is activated, its Movement characteristic can be increased by 2""; however, if it is, then after the activation is finished roll a D6. On a result of a 1, the engine overheats and the vehicle loses 1 HP.",
SMOKE VENTS,This vehicle is constantly shrouded by clouds of smoke; all ranged attacks targeting it suffer a -1 penalty to hit. This effect is ignored by anything that ignores the Smoke weapon trait.,
