Discipline,Power Name,Action Type,Description
Biomancy,Arachnosis,"Basic, Continuous","While this Wyrd Power is maintained, the fighter counts as having the Clamber, Catfall and Mighty Leap skills."
Biomancy,Cause Pain,Basic,"Choose an enemy fighter that has already lost at least one Wound or suffered at least one Flesh Wound and that is within 18"" and line of sight of this fighter. That fighter must roll an Injury dice and immediately apply the effects."
Biomancy,Chameleon,"Basic, Continuous","While this Wyrd Power is maintained, ranged attacks targeting this fighter suffer a -2 modifier to their hit roll, provided the fighter does not move during their activation."
Biomancy,Iron Arm,"Basic, Continuous","While this Wyrd Power is maintained, the fighter gains a special 5+ save against attacks made against them in close combat. This save may be made after any save rolls for armour, and is not modified by AP."
Biomancy,Quickening,"Basic, Continuous","While this Wyrd Power is maintained, improve this fighter’s Movement characteristic by 3 and their Weapon Skill, Ballistic Skill and Initiative characteristics by 1 (to a maximum of 2+)."
Biomancy,Stop Bleeding,Basic,"Choose a friendly fighter that has suffered at least one Flesh Wound and that is within 18"" and line of sight of this fighter. That fighter immediately removes any Flesh Wounds they currently have."
Biomancy,Warp Strength,"Simple, Continuous",+2 Strength and Close Combat attacks gain +1 Damage (while maintained).
Chronomancy,Freeze Time,Double,"All fighters, friend and foe, within 12"" of this fighter may only perform a single action when activated for the remainder of this round."
Chronomancy,Lucky Aura,"Basic, Continuous","While this Wyrd Power is maintained, once per round, this fighter may force an enemy fighter to re-roll one successful BS or WS check if this fighter is the target of the attack."
Chronomancy,Mirror Image,Basic,"Until the End phase of this round, all hit rolls made against this fighter suffer a -1 modifier. In addition, if this fighter makes the Retreat (Basic) action, they may not be targeted by Reaction attacks."
Chronomancy,Suppress Power,Basic,"Choose one enemy psyker that is within 18"" and line of sight of this fighter. This fighter chooses one of the target’s Wyrd Powers – that power may not be used this round."
Chronomancy,Walk Through Walls,Double,"Place this fighter anywhere within 8"" of their current position. They may not be placed within 1"" of an enemy fighter."
Chronomancy,Zen Shootist,"Basic, Continuous","While this Wyrd Power is maintained, this fighter’s BS is improved to 2+ and they ignore negative hit modifiers due to cover. These benefits do not apply if this fighter is firing a weapon with either the Blast (X) trait or Rapid Fire (X) trait."
Darkness,A Perfect Void,"Basic, Continuous","Counts as in full cover to all enemies within 10""."
Darkness,Cacophony Of Silence,"Double, Continuous","All enemies within 5"" must re-roll successful Hit rolls for ranged attacks."
Darkness,Cloak Of Whispers,"Basic, Continuous","All friendly fighters within 3"" (including the Psyker) cannot be targeted by or be affected by gang enemy Tactics."
Darkness,Eternal Slumber,Double,"All Seriously Injured enemies within 3"" go Out of Action."
Darkness,Penumbral Mirror,Basic,"Choose 1 friendly and 1 enemy fighter within 5"". Place the friendly fighter anywhere within 5"" of the enemy fighter (even B2B)."
Darkness,Sight Blight,"Basic, Continuous","All enemies within 5"" count as being affected by Pitch Black (does not actually create an area of darkness and only affects enemies who enter or remain in range)."
Delusion,Deceitful Thoughts,Double,"An enemy within 5"" must pass an Intelligence test or the Psyker can force the target to make a move action (cannot move off ledges or into dangerous terrain)."
Delusion,Ghost & Shadow,Basic,"An enemy within 10"" can be turned to face any direction."
Delusion,Opprobrious,Simple,"An enemy within 3"" must pass a Toughness test or suffer a Flesh Wound."
Delusion,Seen Unseen,"Basic, Continuous","Choose an enemy within 3"". While maintained: The target treats all fighters as enemies. All other fighters treat the target as an enemy.The fighter still activates as normal and is treated as part of the crew, but in all other regards is treated an enemy fighter and not part of the gang."
Delusion,Spatial Psychosis,Simple,"An Active enemy fighter within 12"" is Pinned (can cause a fall if within ½"" of the edge of a ledge or platform)."
Delusion,Suicidal Embrace,Basic,"An enemy within 3"" must pass an Intelligence test or suffer an automatic hit from a random Melee weapon equipped by the enemy fighter (or unarmed attack if no Melee weapons are equipped)."
Divination,Foreboding,"Double, Continuous","While this Wyrd Power is maintained, the fighter may either gain the Overwatch skill or grant the Overwatch skill to a single friendly fighter that is both within 12"" and line of sight of this fighter."
Divination,Forewarning,Basic,"Until the End phase of this round, the first time this fighter is hit by an attack roll a D6. On a 2+, the hit is ignored."
Divination,Misfortune,Basic,"At any point prior to the End phase of this round, this fighter may force one enemy fighter that is currently both within 12"" and line of sight of this fighter to re-roll a single dice roll."
Divination,Precognition,Special,"If this fighter is part of a gang during the Determine Scenario step of the pre-battle sequence, their gang may choose the scenario rather than rolling randomly. If the scenario has an attacker and a defender, the gang this fighter belongs to is automatically the attacker. If both gangs have a wyrd with this power, they have no effect as they cancel each other out."
Divination,Visions,"Double, Continuous","While this Wyrd Power is maintained, all enemy fighters within 18"" of this fighter that are in full cover count as being in partial cover, and all enemy fighters within 18"" of this fighter that are in partial cover count as being in the open."
Divination,Warp Whispers,Special,"While this fighter is part of a gang, that gang may increase their Crew size by 1 for the scenario, and may re-roll any rolls for Reinforcements. In addition, if this fighter is a sentry, the alarm will automatically be raised if they finish their movement within 6"" of an enemy fighter."
Madness,Craven Howl,"Basic, Continuous","Broken enemies within 5"" cannot Rally."
Madness,Cyclopean Gaze,Double,"A Ready enemy within 1"" is no longer Ready."
Madness,Existential Barrage,Simple,"An enemy within 1"" of the Psyker must pass an Intelligence test or become Broken and immediately flee. After fleeing, any friendly fighter to the target within 5"" of the target must pass a Nerve test or become Broken."
Madness,Psychotic Lure,Basic,"A Ready enemy within 3"" must activate in the next turn and cannot perform Group Activation in that activation."
Madness,Terrible Truths,Basic,"An enemy within 3"" must pass an Intelligence test or suffer Insanity."
Madness,Unrememberable Utterance,"Simple, Continuous","-1 action to enemies activating within 3"" (cannot perform any Double action if reduced to 1 action)"
Pyromancy,Body Of Flame,"Basic, Continuous","While this Wyrd Power is maintained, this fighter ignores hits from weapons with the Blaze or Melta traits. In addition, if a fighter ends their activation within 1"" of this fighter they must test to see if they are set on fire, as if they had been hit by a weapon with the Blaze trait."
Pyromancy,Flame Blast,"Basic, Continuous","While this Wyrd Power is maintained, one weapon with the Melee or Versatile trait carried by this fighter gains the Blaze trait."
Pyromancy,Molten Bolt,Basic,"Target a single enemy fighter that is both within 6"" and line of sight of this fighter and make a hit roll, using this fighter’s BS. If a hit is scored, it is resolved at Strength 8, Damage 3, AP -3 as if from a weapon with the Melta trait."
Pyromancy,Scouring,Basic,"Chaos Cult Witch: Make the following ranged attack: S2, AP -2, D1, Template, Blaze. Other: (Basic, Continuous) While this Wyrd Power is maintained, this fighter counts as being armed with the ""Scouring"" weapon: Template, S2, D1, AP-, Blaze"
Pyromancy,Stoke Flames,Basic,"Choose an enemy fighter that is both within 18"" and line of sight of this fighter and that is currently subject to the Blaze condition. Centre a 5"" Blast marker over the chosen fighter. All fighters touched by this marker must immediately test to see if they are set on fire just as if they had been hit by a weapon with the Blaze trait."
